Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
PAIN,Vector Science and Therapeutics Corp.,2.1800,238.76,United States and Canada,Biotechnology,
TRDA,Entrada Therapeutics Inc.,6.6050,238.00,United States and Canada,Biotechnology,5.74
IFRX,InflaRx N.V.,1.6150,237.88,United States and Canada,Biotechnology,0.03
FHTX,Foghorn Therapeutics Inc.,4.0400,237.20,United States and Canada,Biotechnology,28.22
ACIU,AC Immune SA,2.3850,236.59,United States and Canada,Biotechnology,4.63
AVXL,Anavex Life Sciences Corp.,2.5350,234.92,United States and Canada,Biotechnology,
ALCLS,Cellectis S.A.,2.7720,233.28,Europe,Biotechnology,75.11
ADAG,Adagene Inc.,3.5300,233.24,United States and Canada,Biotechnology,7.67
HUMA,Humacyte Inc.,1.0450,232.01,United States and Canada,Biotechnology,2.02
CNTN,Canton Strategic Holdings Inc.,3.2900,229.66,United States and Canada,Biotechnology,
FATE,Fate Therapeutics Inc.,1.9050,222.05,United States and Canada,Biotechnology,6.32
CAMP,Camp4 Therapeutics Corporation,4.2300,219.65,United States and Canada,Biotechnology,3.93
TARA,Protara Therapeutics Inc.,3.8850,218.35,United States and Canada,Biotechnology,
QTTB,Q32 Bio Inc.,12.8480,217.86,United States and Canada,Biotechnology,53.74
VYGR,Voyager Therapeutics Inc.,3.6050,217.82,United States and Canada,Biotechnology,36.49
RNA,Atrium Therapeutics Inc.,12.6940,217.14,United States and Canada,Biotechnology,36.68
NERV,Minerva Neurosciences Inc.,4.4990,209.60,United States and Canada,Biotechnology,
KPTI,Karyopharm Therapeutics Inc.,9.2800,209.28,United States and Canada,Biotechnology,151.12
WHWK,Whitehawk Therapeutics Inc.,4.2050,207.95,United States and Canada,Biotechnology,0.00
CHRS,Coherus Oncology Inc.,1.3360,206.08,United States and Canada,Biotechnology,46.88
ARCT,Arcturus Therapeutics Holdings Inc.,7.2440,205.90,United States and Canada,Biotechnology,54.71
CRNA,Circio Holding ASA,8.1300,202.94,Europe,Biotechnology,
KROS,Keros Therapeutics Inc.,10.1750,201.38,United States and Canada,Biotechnology,33.18
YDES,YD Bio Limited,2.8240,198.58,United States and Canada,Biotechnology,0.51
ALXO,ALX Oncology Holdings Inc.,1.4550,195.78,United States and Canada,Biotechnology,
ANIK,Anika Therapeutics Inc.,14.3770,191.29,United States and Canada,Biotechnology,116.26
CGEN,Compugen Ltd.,2.0150,190.59,United States and Canada,Biotechnology,72.66
UNCY,Unicycive Therapeutics Inc.,7.1150,189.97,United States and Canada,Biotechnology,
NKTX,Nkarta Inc.,2.6340,188.45,United States and Canada,Biotechnology,
